BD DIFF,LSI DIFF,MI DIFF,B5 DIFF,PERFORMANCE,CID
14,-2,-9,64,  AVERAGE,C49
7,-3,23,-4,  POOR,C490
20,-1,8,-14,  GOOD,C491
17,0,24,-11,  GOOD,C492
5,-3,5,16,Excellent,C493
14,0,-3,1,  GOOD,C494
5,-6,-2,0,  GOOD,C495
12,-1,12,3,  AVERAGE,C496
20,1,23,-11,  POOR,C497
15,4,14,4,  POOR,C498
3,1,-5,-8,  POOR,C499
1,0,-47,21,  POOR,C5
14,-6,16,57,Excellent,C50
17,1,41,1,  GOOD,C500
7,3,-21,-6,Excellent,C501
13,-5,-16,-14,Excellent,C502
15,-2,45,7,Excellent,C503
5,3,-11,-28,Excellent,C504
7,1,-20,7,  GOOD,C505
-9,0,-5,-3,  GOOD,C506
3,7,-8,-27,  AVERAGE,C507
18,1,17,-2,  POOR,C508
16,-2,46,-44,  POOR,C509
18,0,-57,-10,  POOR,C51
17,2,17,-7,  POOR,C510
14,-1,-29,-7,  POOR,C511
0,2,-35,-4,  POOR,C512
1,2,-30,-12,  POOR,C513
28,-2,37,-11,  POOR,C514
30,-4,37,-11,  POOR,C515
14,-2,0,-15,  GOOD,C516
7,0,46,-27,Excellent,C517
19,1,-16,7,Excellent,C518
17,0,3,7,  POOR,C519
20,-2,29,-25,  ,C52
17,-1,15,0,  ,C520
-6,-1,-21,6,  GOOD,C521
18,-1,4,-21,Excellent,C522
10,3,42,23,Excellent,C523
28,2,-12,58,  GOOD,C524
14,-6,7,6,  GOOD,C525
3,1,-5,-8,Excellent,C526
17,1,41,1,Excellent,C527
7,3,-21,-6,Excellent,C528
13,-5,-16,-14,  GOOD,C529
1,2,13,3,  GOOD,C53
15,-2,45,7,  AVERAGE,C530
5,3,-11,-28,  POOR,C531
7,1,-20,7,  POOR,C532
-9,0,-5,-3,  GOOD,C533
3,7,-8,-27,  GOOD,C534
18,1,17,-2,  GOOD,C535
16,-2,46,-16,  GOOD,C536
17,2,17,-7,Excellent,C537
14,-1,-29,-7,Excellent,C538
0,2,-35,-4,Excellent,C539
0,0,7,-25,Excellent,C54
1,2,-30,-12,  GOOD,C540
28,-2,37,-11,Excellent,C541
30,-4,37,-11,Excellent,C542
14,-2,0,-15,Excellent,C543
7,0,46,-27,  GOOD,C544
19,1,-16,7,Excellent,C545
17,0,3,7,Excellent,C546
17,-1,15,0,Excellent,C547
-6,-1,-21,6,Excellent,C548
18,-1,4,-21,Excellent,C549
8,-4,29,-20,  POOR,C55
10,3,42,23,  POOR,C550
28,2,-12,58,  AVERAGE,C551
14,-6,7,6,  GOOD,C552
-7,4,-13,-18,  GOOD,C553
-7,-1,-41,10,Excellent,C554
-7,-4,22,-8,  GOOD,C555
-7,-1,-16,-2,  AVERAGE,C556
-7,1,18,-1,  POOR,C557
-7,-3,-23,10,  POOR,C558
-7,2,14,-12,Excellent,C559
13,2,-20,-11,Excellent,C56
-7,-4,-30,-13,Excellent,C560
-7,3,-6,5,Excellent,C561
-7,5,17,9,Excellent,C562
-7,5,-16,-8,Excellent,C563
-7,-3,35,-3,  GOOD,C564
-7,-3,-15,-6,  AVERAGE,C565
-7,3,-13,-8,  AVERAGE,C566
-7,-5,11,-3,  GOOD,C567
-7,-4,-42,6,  GOOD,C568
-7,0,-1,0,  GOOD,C569
14,-3,-85,-4,  GOOD,C57
-7,-5,-5,10,Excellent,C570
-7,-7,28,8,Excellent,C571
-3.666666667,-9,18,-8,Excellent,C572
-8.333333333,0,-2,14,  POOR,C573
5.666666667,-4,-25,-15,  AVERAGE,C574
-7,2,5,15,  GOOD,C575
-7,-2,-22,3,  GOOD,C576
-7,-4,12,-11,Excellent,C577
-7,1,-47,-13,Excellent,C578
-7,0,7,-12,  GOOD,C579
8,0,-51,6,Excellent,C58
-7,-2,22,-18,  POOR,C580
-7,-3,-24,-14,  POOR,C581
-7,4,-10,0,  GOOD,C582
-7,-3,5,3,  AVERAGE,C583
-7,1,-47,3,  AVERAGE,C584
-0.333333333,-2,-19,-14,  GOOD,C585
-9.666666667,1,-23,-20,  AVERAGE,C586
-7,0,-5,-11,Excellent,C587
-7,1,-9,-5,  GOOD,C588
-7,0,-36,2,Excellent,C589
7,-2,-21,-41,Excellent,C59
-7,3,4,2,Excellent,C590
-7,-5,-2,14,  GOOD,C591
-7,0,-11,-2,  GOOD,C592
-7,-3,-48,17,  ,C593
-7,-3,-9,-18,  ,C594
-7,-1,-16,-6,  POOR,C595
-7,-3,-28,-2,  POOR,C596
-8.333333333,-3,-47,18,  POOR,C597
-7,0,-6,8,  GOOD,C598
-7,1,-5,-8,  ,C599
-2,-4,17,-33,  AVERAGE,C6
7,-1,-22,-4,  AVERAGE,C60
-7,-2,12,-5,  GOOD,C600
-7,0,-44,-9,  GOOD,C601
-7,0,1,-9,  GOOD,C602
-7,-2,18,0,  GOOD,C603
-7,1,-34,1,  GOOD,C604
-7,-3,-6,25,Excellent,C605
-7,0,35,-20,  GOOD,C606
-7,-3,-9,12,  GOOD,C607
-7,0,-1,-22,Excellent,C608
-7,1,4,5,Excellent,C609
9,-4,-46,-4,Excellent,C61
-7,0,3,-12,Excellent,C610
-7,-2,13,13,  GOOD,C611
-15,-2,14,28,  GOOD,C612
-7,1,13,-17,  POOR,C613
-7,0,22,8,  POOR,C614
-5.666666667,2,13,6,  POOR,C615
-7,5,18,-11,  AVERAGE,C616
-8.333333333,5,10,-16,  GOOD,C617
-13.66666667,2,-8,-3,  GOOD,C618
-7,1,23,-2,  ,C619
7,4,3,-4,  POOR,C62
-7,-3,-6,-15,  POOR,C620
-7,-1,29,-16,  POOR,C621
-7,1,-6,-4,Excellent,C622
-7,4,-40,2,Excellent,C623
-7,1,2,-11,Excellent,C624
-10.33333333,-4,7,8,Excellent,C625
-7,1,-23,0,Excellent,C626
-7,2,-20,5,Excellent,C627
-7,-1,6,23,  AVERAGE,C628
-5.666666667,2,24,8,  POOR,C629
7,-1,-46,-3,  POOR,C63
-7,-2,14,-7,  GOOD,C630
-7,-3,11,9,  GOOD,C631
-7,-3,15,1,  AVERAGE,C632
-7,3,-4,12,  GOOD,C633
-7,2,-44,4,Excellent,C634
-7,-1,17,-17,  GOOD,C635
-7,0,-23,-8,Excellent,C636
-7,0,5,8,  POOR,C637
-7,7,-98,8,  POOR,C638
-7,-2,12,-7,  AVERAGE,C639
14,-3,-23,-19,  GOOD,C64
-7,-2,-12,11,  GOOD,C640
-7,-2,-6,-8,Excellent,C641
-7,-3,-28,8,Excellent,C642
-7,0,6,10,Excellent,C643
-7,-1,-17,-10,Excellent,C644
-0.333333333,2,-21,6,Excellent,C645
-7,1,-28,0,Excellent,C646
-27,5,-18,10,Excellent,C647
-7,-3,1,-8,Excellent,C648
-5.666666667,1,-51,6,Excellent,C649
-4,-1,-32,-1,  POOR,C65
-7,4,3,6,  GOOD,C650
-7,-4,14,5,  AVERAGE,C651
-7,0,-6,22,  GOOD,C652
-7,3,-10,27,Excellent,C653
-7,2,41,5,Excellent,C654
-7,2,-20,7,Excellent,C655
-7,-4,24,41,  AVERAGE,C656
-7,-4,19,-20,  POOR,C657
-7,1,7,16,Excellent,C658
-7,-2,-2,14,Excellent,C659
8,0,-23,18,  GOOD,C66
-7,-3,-13,8,Excellent,C660
-7,5,12,17,Excellent,C661
-7,-3,-13,30,  POOR,C662
-7,4,0,16,  POOR,C663
-7,-3,-3,-8,  POOR,C664
-7,0,-19,0,  AVERAGE,C665
-7,3,2,16,  GOOD,C666
-7,0,-4,-4,  GOOD,C667
-7,3,-19,-2,Excellent,C668
-9.666666667,2,3,13,Excellent,C669
13,-6,-12,5,Excellent,C67
-7,3,-17,86,  AVERAGE,C670
-7,-4,23,-1,  GOOD,C671
-7,-1,50,1,  GOOD,C672
-7,-1,18,-2,Excellent,C673
-7,1,50,-23,Excellent,C674
-7,-1,32,6,  AVERAGE,C675
-7,2,19,18,  POOR,C676
-7,0,13,2,  POOR,C677
-7,-1,17,0,  AVERAGE,C678
-7,3,-31,2,  POOR,C679
5,3,64,17,  GOOD,C68
-7,2,-3,18,  GOOD,C680
-8,-2,-23,-13,Excellent,C681
-16.33333333,-2,-21,-5,  GOOD,C682
-13.66666667,6,-29,2,  GOOD,C683
-7,0,14,21,  AVERAGE,C684
-9.666666667,1,-2,-3,  POOR,C685
-7,-3,26,-8,  POOR,C686
-7,-4,21,7,  POOR,C687
-7,2,-19,2,  POOR,C688
-7,-6,-5,14,Excellent,C689
15,3,44,-16,  GOOD,C69
-7,2,-6,-1,Excellent,C690
-7,-1,22,6,Excellent,C691
-7,-6,12,24,Excellent,C692
-7,0,26,-15,Excellent,C693
-7,5,-8,-15,  GOOD,C694
-7,1,21,2,  GOOD,C695
-7,-6,2,11,  AVERAGE,C696
-7,-1,-22,7,  POOR,C697
-7,-1,-15,-1,  POOR,C698
-7,-4,-17,-58,  POOR,C699
0,1,-23,-25,  POOR,C7
1,3,-34,-2,  POOR,C70
-7,3,26,-5,  POOR,C700
-4.333333333,-1,-24,7,  POOR,C701
-7,-1,-11,5,  POOR,C702
-7,1,-1,31,  POOR,C703
-7,-3,8,9,  GOOD,C704
-7,-2,2,-7,Excellent,C705
-7,-1,-17,11,Excellent,C706
-7,-3,10,-6,  POOR,C707
-7,1,46,-12,  ,C708
-7,5,19,3,  ,C709
24,1,-36,-26,  GOOD,C71
-7,0,20,-18,Excellent,C710
-7,-1,1,-4,Excellent,C711
-7,-2,-26,14,  GOOD,C712
-7,1,-4,-5,  GOOD,C713
-7,3,5,17,Excellent,C714
-7,4,-4,32,Excellent,C715
-7,3,-3,2,Excellent,C716
-7,-1,-22,4,  GOOD,C717
-7,1,-3,-10,  GOOD,C718
-7,-1,-21,8,  AVERAGE,C719
18,4,-28,6,  POOR,C72
-7,-1,21,-1,  POOR,C720
-7,4,25,6,  GOOD,C721
-5.666666667,1,16,-5,  GOOD,C722
-7,11,2,2,  GOOD,C723
-7,1,-5,13,  GOOD,C724
-7,-3,39,17,Excellent,C725
-7,-2,38,7,Excellent,C726
-7,1,-6,11,Excellent,C727
-7,5,35,5,Excellent,C728
-7,2,38,7,  GOOD,C729
5,3,64,17,Excellent,C73
-7,3,25,7,Excellent,C730
-7,3,-21,10,Excellent,C731
-7,0,24,7,  GOOD,C732
-8.333333333,6,0,-1,Excellent,C733
-7,-3,21,-6,Excellent,C734
-4.333333333,1,17,-3,Excellent,C735
-9.666666667,1,2,5,Excellent,C736
-7,-1,-8,15,Excellent,C737
-8.333333333,-1,-5,-9,  POOR,C738
-7,1,23,-18,  POOR,C739
3,1,-34,-16,  AVERAGE,C74
-7,-1,-45,28,  GOOD,C740
-7,1,-16,13,  GOOD,C741
-7,1,-1,6,Excellent,C742
-7,0,5,1,  GOOD,C743
-7,-3,37,0,  AVERAGE,C744
-7,1,4,4,  POOR,C745
-7,3,-7,2,  POOR,C746
-7,-2,-8,-17,Excellent,C747
-7,0,-10,2,Excellent,C748
-7,1,12,10,Excellent,C749
1,3,-10,-3,Excellent,C75
-5,-1,-9,17,Excellent,C750
-7,4,34,-19,Excellent,C751
-7,-1,-9,-4,  GOOD,C752
-7,1,-10,-12,  AVERAGE,C753
-6.666666667,8,21,-7,  AVERAGE,C754
-7,1,-26,-7,  GOOD,C755
-7,-10,16,-8,  GOOD,C756
-7,2,-11,14,  GOOD,C757
-7,-2,37,-8,  GOOD,C758
-7,-8,9,6,Excellent,C759
8,-5,16,-2,Excellent,C76
-7,3,20,10,Excellent,C760
-7,4,34,13,  POOR,C761
-7,0,-20,14,  AVERAGE,C762
-7,5,-5,4,  GOOD,C763
-7,5,-10,4,  GOOD,C764
-7,0,21,10,Excellent,C765
-5.666666667,5,19,-1,Excellent,C766
-7,5,5,0,  GOOD,C767
-7,2,-27,-7,Excellent,C768
-3.666666667,2,-49,6,  POOR,C769
-13,3,-15,-12,  POOR,C77
-7,-2,18,6,  GOOD,C770
-7,0,-10,6,  AVERAGE,C771
-7,-1,47,8,  AVERAGE,C772
-1.666666667,-3,-31,6,  GOOD,C773
-7,-3,40,3,  AVERAGE,C774
-7,0,-4,8,Excellent,C775
-8.333333333,-3,21,5,  GOOD,C776
-7,0,16,-8,Excellent,C777
-9.666666667,1,11,8,Excellent,C778
-7,0,5,5,Excellent,C779
10,-1,2,13,  AVERAGE,C78
-7,-2,-11,6,  POOR,C780
-7,-2,-22,0,Excellent,C781
-7,1,-30,6,Excellent,C782
-7,0,23,10,  GOOD,C783
-7,2,-26,1,Excellent,C784
-8.333333333,5,2,7,Excellent,C785
-7,5,4,3,  POOR,C786
-7,2,12,6,  POOR,C787
-7,1,17,11,  POOR,C788
-7,-3,5,16,  AVERAGE,C789
10,-4,-8,1,  GOOD,C79
-7,-1,-12,13,  GOOD,C790
-7,1,54,5,Excellent,C791
-7,4,-2,6,Excellent,C792
-7,1,2,-5,Excellent,C793
-7,-4,1,13,  AVERAGE,C794
-7,1,-6,3,  GOOD,C795
-7,2,22,7,  GOOD,C796
-7,-1,30,2,Excellent,C797
-7,2,-24,6,Excellent,C798
-7,-2,25,0,  AVERAGE,C799
-1,-3,6,-1,  POOR,C8
7,3,-24,5,  POOR,C80
-7,-3,-18,5,  AVERAGE,C800
-7,-3,-24,4,  POOR,C801
-8.333333333,3,-22,7,  GOOD,C802
-7,2,12,8,  GOOD,C803
-11,-1,-2,7,Excellent,C804
-7,0,-18,-1,  GOOD,C805
-7,0,29,-5,  GOOD,C806
-7,7,20,3,  AVERAGE,C807
-7,-2,9,9,  POOR,C808
-7,-2,10,5,  POOR,C809
12,-8,12,-10,  POOR,C81
-7,-2,46,9,  POOR,C810
-7,-3,-13,2,Excellent,C811
-7,0,27,7,  GOOD,C812
-8.333333333,-1,26,9,Excellent,C813
-7,2,-26,10,Excellent,C814
-7,1,10,7,Excellent,C815
-7,5,-27,7,Excellent,C816
-7,-3,19,-4,  GOOD,C817
-7,1,-25,15,  GOOD,C818
-7,4,-13,20,  AVERAGE,C819
7,-5,-34,-1,  POOR,C82
-7,-4,12,-2,  POOR,C820
-7,0,-15,-7,  POOR,C821
-7,3,-1,11,  POOR,C822
-7,2,15,11,  POOR,C823
-7,2,19,7,  POOR,C824
-7,-4,8,8,  POOR,C825
-7,-4,55,0,  POOR,C826
-7,1,-21,17,  POOR,C827
-7,-2,24,1,  GOOD,C828
-7,-3,-16,5,Excellent,C829
21,1,-5,1,Excellent,C83
-7,5,-10,8,  POOR,C830
-7,-3,-15,19,  ,C831
-7,4,19,9,  ,C832
-7,-3,27,12,  GOOD,C833
-7,0,-35,12,Excellent,C834
-7,3,10,14,Excellent,C835
-7,0,-39,1,  GOOD,C836
-7,3,-6,5,  GOOD,C837
-7,2,28,17,Excellent,C838
-7,3,13,17,Excellent,C839
-1,3,3,11,Excellent,C84
-7,-4,11,4,  GOOD,C840
-15,-1,28,3,  GOOD,C841
-7,-1,-9,1,  AVERAGE,C842
-7,1,-7,13,  POOR,C843
-7,-1,-11,8,  POOR,C844
-7,2,6,15,  GOOD,C845
-5.666666667,0,-3,-2,  GOOD,C846
-7,-1,17,15,  GOOD,C847
-7,3,8,0,  GOOD,C848
-7,2,26,6,Excellent,C849
7,-1,1,-18,Excellent,C85
-7,-2,22,0,Excellent,C850
-7,-2,-12,7,Excellent,C851
-7,6,-1,11,  GOOD,C852
-7,0,-9,8,Excellent,C853
-7,1,11,18,Excellent,C854
-7,-3,21,6,Excellent,C855
-7,-4,24,6,  GOOD,C856
-7,2,17,4,Excellent,C857
-7,-6,18,6,Excellent,C858
-7,2,10,16,Excellent,C859
-5,0,-14,-20,Excellent,C86
-5.666666667,-1,25,12,Excellent,C860
-7,-6,-18,2,  POOR,C861
-7,0,29,2,  POOR,C862
-7,5,-4,1,  AVERAGE,C863
-7,1,-10,-7,  GOOD,C864
-5.666666667,-6,22,-2,  GOOD,C865
-7,-1,23,12,Excellent,C866
-8.333333333,-1,16,-4,  GOOD,C867
-7,-4,-7,6,  AVERAGE,C868
-7,3,12,4,  POOR,C869
-10,-4,-3,-9,  POOR,C87
-7,-1,16,0,Excellent,C870
-7,-1,-9,10,Excellent,C871
-7,1,3,-11,Excellent,C872
-7,-3,27,6,Excellent,C873
-7,-2,44,3,Excellent,C874
-7,-1,29,-1,Excellent,C875
-9.666666667,-3,-7,12,  GOOD,C876
-7,1,3,-6,  AVERAGE,C877
-7,5,-24,10,  AVERAGE,C878
-7,0,-10,2,  GOOD,C879
12,-3,12,-42,  GOOD,C88
-7,-1,-8,8,  GOOD,C880
-7,-2,22,-1,  GOOD,C881
-7,1,45,7,Excellent,C882
-7,3,4,5,Excellent,C883
-9.666666667,4,24,2,Excellent,C884
-7,3,-41,16,  POOR,C885
-8.333333333,-1,2,13,  AVERAGE,C886
-7,1,-1,10,  GOOD,C887
-7,-1,21,-2,  GOOD,C888
-7,2,12,10,Excellent,C889
-2,-3,20,-4,Excellent,C89
-7,-1,-9,-2,  GOOD,C890
-7,-3,10,5,Excellent,C891
-8.333333333,1,-46,3,  POOR,C892
-7,4,0,2,  POOR,C893
-7,1,-12,9,  GOOD,C894
-7,5,23,0,  AVERAGE,C895
-5.666666667,3,-21,8,  AVERAGE,C896
-7,-1,-4,0,Excellent,C897
-7,-4,24,6,Excellent,C898
-3.666666667,5,-26,-2,Excellent,C899
24,0,51,-21,  GOOD,C9
0,0,-28,5,  GOOD,C90
-7,4,-8,-9,  ,C900
-7,6,8,16,  ,C901
-20.33333333,-4,-51,-1,  POOR,C902
-7,-5,18,2,  POOR,C903
-13.66666667,-2,-3,-6,  POOR,C904
-7,6,-16,9,  GOOD,C905
-7,-4,14,3,  ,C906
-7,-5,29,6,  AVERAGE,C907
-7,-2,-10,2,  AVERAGE,C908
-8.333333333,2,9,5,  GOOD,C909
5,2,1,-11,  GOOD,C91
-4.333333333,-15,15,-1,  GOOD,C910
-7,-4,-2,7,  GOOD,C911
-7,-2,-20,5,  GOOD,C912
-7,0,16,0,Excellent,C913
-8.333333333,-2,25,11,  GOOD,C914
-7,1,-11,5,  GOOD,C915
-7,-1,8,-12,Excellent,C916
-8.333333333,4,41,10,Excellent,C917
-7,-1,5,6,Excellent,C918
-7,-3,47,6,Excellent,C919
1,0,13,-27,  GOOD,C92
-7,1,-2,5,  GOOD,C920
-7,0,2,13,  POOR,C921
-7,1,-2,17,  POOR,C922
-5.666666667,8,0,21,  POOR,C923
-16.33333333,4,52,2,  AVERAGE,C924
-7,7,51,3,  GOOD,C925
-16.33333333,0,1,9,  GOOD,C926
-7,0,28,16,  ,C927
-7,0,0,8,  POOR,C928
-7,-5,19,4,  POOR,C929
-5,1,-49,25,  POOR,C93
-7,-3,-20,12,Excellent,C930
-8.333333333,-3,-6,7,Excellent,C931
-12.33333333,5,-8,-5,Excellent,C932
-7,2,12,10,Excellent,C933
-7,2,-29,2,Excellent,C934
-29.66666667,-1,-33,-14,Excellent,C935
-24.66666667,1,23,-11,  AVERAGE,C936
16.66666667,3,0,-2,  POOR,C937
-23.66666667,-4,2,-22,  POOR,C938
-28.66666667,1,7,5,  GOOD,C939
7,2,-2,-6,  GOOD,C94
-26.33333333,3,8,-37,  AVERAGE,C940
-27.66666667,4,23,-9,  GOOD,C941
-31,-4,-25,12,Excellent,C942
-22.33333333,-1,37,-6,  GOOD,C943
-31,2,-9,13,Excellent,C944
-7,2,26,9,  POOR,C945
-7,3,0,-18,  POOR,C946
-7,0,3,12,  AVERAGE,C947
-7,-4,21,2,  GOOD,C948
-7,1,12,0,  GOOD,C949
27,1,21,-5,Excellent,C95
-7,-3,29,-18,Excellent,C950
-7,-6,69,4,Excellent,C951
-7,2,-26,9,Excellent,C952
-7,2,-43,27,Excellent,C953
-7,-5,25,5,Excellent,C954
-7,-1,-7,-16,Excellent,C955
-7,1,19,-5,Excellent,C956
-7,4,-9,-3,Excellent,C957
-7,-1,-57,-15,  POOR,C958
-7,-1,-8,1,  GOOD,C959
7,4,34,-12,  AVERAGE,C96
-7,-6,-7,3,  GOOD,C960
-7,-5,-39,5,Excellent,C961
-7,3,20,17,Excellent,C962
-5.666666667,0,-28,4,Excellent,C963
-7,2,5,-2,  AVERAGE,C964
-7,-1,-4,-11,  POOR,C965
-7,3,-5,-12,Excellent,C966
-7,2,-32,-11,Excellent,C967
-7,3,-31,-10,  GOOD,C968
-7,3,27,10,Excellent,C969
14,-1,1,10,Excellent,C97
-7,-1,-2,-16,  POOR,C970
-7,0,-28,-7,  POOR,C971
-9.666666667,0,-2,-5,  POOR,C972
-7,-4,17,-2,  AVERAGE,C973
-7,4,-2,-11,  GOOD,C974
-7,-2,18,5,  GOOD,C975
-7,0,-30,-3,Excellent,C976
-7,2,15,26,Excellent,C977
-7,-1,-26,6,Excellent,C978
-7,-2,-4,3,  AVERAGE,C979
11,1,3,-5,  GOOD,C98
-7,6,4,24,  GOOD,C980
-7,1,26,-26,Excellent,C981
-7,-1,-16,20,Excellent,C982
-7,4,13,1,  AVERAGE,C983
-7,-1,13,14,  POOR,C984
-7,2,-59,-9,  POOR,C985
-7,-1,-16,15,  AVERAGE,C986
-7,-3,0,0,  POOR,C987
-7,1,-9,-5,  GOOD,C988
-7,3,5,-11,  GOOD,C989
18,-3,32,4,Excellent,C99
-7,-1,-3,-17,  GOOD,C990
-7,-6,31,9,  GOOD,C991
-7,1,-34,-7,  AVERAGE,C992
-7,-1,2,6,  POOR,C993
-7,-3,-27,11,  POOR,C994
-6,0,18,5,  POOR,C995
-7,5,-24,2,  POOR,C996
-7,-8,4,-11,Excellent,C997
-7,3,2,21,  GOOD,C998
-7,-1,14,1,Excellent,C999
-22.66666667,2,14,11,Excellent,C1145
